Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,46,17337541622,4012,25236228,54729550,0,150,982,561,59773,Z,
Troleibusai,1,16492271614,2761,25251998,54689438,39,340,974,97,59571,KWNZ,
Autobusai,33,17219891559,2-673,25338718,54663048,0,112,959,106,59827,,
Troleibusai,6,17367701538,1134,25298220,54725600,11,352,938,178,59837,,
Autobusai,114,17310741626,7032,25308278,54723998,31,42,986,71,59832,KWNZ,
Autobusai,4G,17343801007,8039,25172598,54703208,0,80,607,,59801,KWNZ,
Autobusai,88,17275901607,7009,25281078,54650170,22,264,967,0,59832,KWNZ,
Troleibusai,6,17367671552,1719,25283400,54701928,16,4,952,389,59830,Z,
Autobusai,1G,17217961606,4155,25286908,54713978,5,346,966,249,59774,KWNZD,
Autobusai,53,17375011554,4554,25256398,54712138,33,346,954,0,59290,KWNZD,
Autobusai,58,16799631558,754,25287858,54671738,0,254,958,0,59835,Z,
Autobusai,10,17311311631,4112,25294708,54678498,36,304,991,-27,59819,KWNZ,
Autobusai,27,15902311615,711,25317858,54683090,41,240,975,170,59826,,
Troleibusai,7,17274711625,2696,25222598,54721310,0,166,985,-26,59411,KZ,
Autobusai,35,17337331605,936,25332860,54760358,35,38,965,228,59826,Z,
Autobusai,1G,17218091612,4178,25280090,54692380,0,206,972,-8,59827,KWNZD,
Autobusai,1G,17217981616,4162,25281870,54696930,35,4,976,96,59697,KWNZD,
Troleibusai,2,,1131,25317398,54719880,25,196,,,59110,,
Autobusai,1G,17218021623,4164,25284960,54721478,18,142,983,0,59820,KWNZD,
Autobusai,10,17311241612,957,25283470,54702218,20,8,972,41,59832,Z,
Troleibusai,2,17330771632,1706,25324718,54726120,0,226,992,2,59837,KZ,
Troleibusai,12,16493161603,1666,25278140,54685400,19,196,963,10,59591,,
Troleibusai,7,17274791548,2697,25218948,54734760,0,102,948,0,59787,KZ,
Autobusai,18,17219741623,762,25373438,54731250,38,164,983,-30,59827,Z,
Troleibusai,9,17274961607,2545,25301248,54698168,25,34,967,-43,59837,,
Autobusai,3G,17337181558,4564,25269670,54670998,0,168,958,190,59714,KWNZD,
Autobusai,33,17219911636,4547,25301728,54710790,0,102,996,0,59713,KWNZ,
Autobusai,2G,16842591607,4163,25222210,54699970,0,192,967,99,59830,KWNZD,
