Country Code,Name,Location,Latitude,Longitude,System ID,URL,Auto-Discovery URL
CZ,nextbike Hradec Králové,"Hradec Králové, CZ",50.2103605,15.825211,nextbike_tl,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tl/gbfs.json
CZ,nextbike Kladno,"Kladno, CZ",50.1416986,14.1067465,nextbike_tk,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tk/gbfs.json
CZ,nextbike Krnov,"Krnov, CZ",50.0905834,17.7030681,nextbike_tw,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tw/gbfs.json
CZ,nextbike Mladoboleslavsko,CZ,,,nextbike_tq,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tq/gbfs.json
CZ,nextbike Olomouc,"Olomouc, CZ",49.593778,17.2508787,nextbike_ti,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ti/gbfs.json
CZ,nextbike Opava,"Opava, CZ",49.9406598,17.8947989,nextbike_tj,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tj/gbfs.json
CZ,nextbike Ostrava,CZ,,,nextbike_to,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_to/gbfs.json
CZ,nextbike Pardubice,"Pardubice, CZ",50.0343092,15.7811994,nextbike_tm,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tm/gbfs.json
CZ,nextbike Praha,CZ,,,nextbike_tg,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tg/gbfs.json
CZ,nextbike Prostejov,"Prostejov, CZ",49.4724489,17.1067513,nextbike_cz,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cz/gbfs.json
CZ,nextbike Písek,"Písek, CZ",49.303454,14.158029,nextbike_ty,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ty/gbfs.json
CZ,nextbike Rychnovsko,"Rychnovsko, CZ",49.7759656,16.0668926,nextbike_tx,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tx/gbfs.json
CZ,nextbike Uherské Hradiště,"Uherské Hradiště, CZ",49.0597969,17.4958501,nextbike_tt,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tt/gbfs.json
CZ,nextbike Zlín,"Zlín, CZ",49.2244365,17.6627635,nextbike_tv,https://www.nextbikeczech.com/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tv/gbfs.json
DE,Bergisches e-Bike,"Bergisches e-Bike, DE",51.0014241,7.1712599,nextbike_ac,https://www.nextbike.de/de/bergisches-ebike/,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ac/gbfs.json
